geography_code,total_pop,date,geography,value,cob_region,cob,percs
E09000028,307632,2021,Southwark,4321,Africa,Ghana,1.4
E09000029,209640,2021,Sutton,1212,Africa,Ghana,0.58
E09000030,310304,2021,Tower Hamlets,838,Africa,Ghana,0.27
E09000031,278417,2021,Waltham Forest,2474,Africa,Ghana,0.89
E09000032,327502,2021,Wandsworth,1819,Africa,Ghana,0.56
E09000033,204238,2021,Westminster,376,Africa,Ghana,0.18
E09000001,8579,2021,City of London,21,Africa,Nigeria,0.24
E09000002,218870,2021,Barking and Dagenham,9434,Africa,Nigeria,4.31
E09000003,389342,2021,Barnet,3846,Africa,Nigeria,0.99
E09000004,246472,2021,Bexley,8831,Africa,Nigeria,3.58
E09000005,339817,2021,Brent,2559,Africa,Nigeria,0.75
E09000006,329984,2021,Bromley,3515,Africa,Nigeria,1.07
E09000007,210135,2021,Camden,1063,Africa,Nigeria,0.51
E09000008,390719,2021,Croydon,6185,Africa,Nigeria,1.58
E09000009,367116,2021,Ealing,1603,Africa,Nigeria,0.44
E09000010,329987,2021,Enfield,3861,Africa,Nigeria,1.17
E09000011,289073,2021,Greenwich,14357,Africa,Nigeria,4.97
E09000012,259147,2021,Hackney,5239,Africa,Nigeria,2.02
E09000013,183149,2021,Hammersmith and Fulham,934,Africa,Nigeria,0.51
E09000014,264236,2021,Haringey,2380,Africa,Nigeria,0.9
E09000015,261201,2021,Harrow,1199,Africa,Nigeria,0.46
E09000016,262058,2021,Havering,4137,Africa,Nigeria,1.58
E09000017,305912,2021,Hillingdon,1514,Africa,Nigeria,0.49
E09000018,288177,2021,Hounslow,1205,Africa,Nigeria,0.42
E09000019,216589,2021,Islington,1477,Africa,Nigeria,0.68
E09000020,143375,2021,Kensington and Chelsea,559,Africa,Nigeria,0.39
E09000021,168064,2021,Kingston upon Thames,457,Africa,Nigeria,0.27
E09000022,317654,2021,Lambeth,5139,Africa,Nigeria,1.62
E09000023,300556,2021,Lewisham,9278,Africa,Nigeria,3.09
E09000024,215184,2021,Merton,1338,Africa,Nigeria,0.62
E09000025,351041,2021,Newham,5813,Africa,Nigeria,1.66
E09000026,310257,2021,Redbridge,2321,Africa,Nigeria,0.75
E09000027,195277,2021,Richmond upon Thames,368,Africa,Nigeria,0.19
E09000028,307632,2021,Southwark,11173,Africa,Nigeria,3.63
E09000029,209640,2021,Sutton,1144,Africa,Nigeria,0.55
E09000030,310304,2021,Tower Hamlets,1459,Africa,Nigeria,0.47
