orig_names_21,plot_name_21,date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Tower Hamlets,E09000030,Total,254096,1269,Africa,Nigeria,0.5
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Wandsworth,E09000032,Total,306995,1692,Africa,Nigeria,0.55
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Westminster,E09000033,Total,219396,1151,Africa,Nigeria,0.52
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Barking and Dagenham,E09000002,Total,185911,8695,Africa,Nigeria,4.68
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Barnet,E09000003,Total,356386,3765,Africa,Nigeria,1.06
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Bexley,E09000004,Total,231997,6011,Africa,Nigeria,2.59
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Brent,E09000005,Total,311215,2911,Africa,Nigeria,0.94
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Bromley,E09000006,Total,309392,2299,Africa,Nigeria,0.74
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Croydon,E09000008,Total,363378,4715,Africa,Nigeria,1.3
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Ealing,E09000009,Total,338449,1413,Africa,Nigeria,0.42
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Enfield,E09000010,Total,312466,4114,Africa,Nigeria,1.32
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Greenwich,E09000011,Total,254557,13013,Africa,Nigeria,5.11
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Harrow,E09000015,Total,239056,1154,Africa,Nigeria,0.48
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Havering,E09000016,Total,237232,2241,Africa,Nigeria,0.94
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Hillingdon,E09000017,Total,273936,1350,Africa,Nigeria,0.49
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Hounslow,E09000018,Total,253957,1041,Africa,Nigeria,0.41
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Kingston upon Thames,E09000021,Total,160060,404,Africa,Nigeria,0.25
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Merton,E09000024,Total,199693,1389,Africa,Nigeria,0.7
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Redbridge,E09000026,Total,278970,2049,Africa,Nigeria,0.73
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Richmond upon Thames,E09000027,Total,186990,267,Africa,Nigeria,0.14
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Sutton,E09000029,Total,190146,840,Africa,Nigeria,0.44
Africa: Central and Western Africa: Nigeria,Nigeria,2011,Waltham Forest,E09000031,Total,258249,2513,Africa,Nigeria,0.97
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Camden,E09000007,Total,220338,1263,Africa,Other Central and Western Africa,0.57
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,City of London,E09000001,Total,7375,27,Africa,Other Central and Western Africa,0.37
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Hackney,E09000012,Total,246270,3979,Africa,Other Central and Western Africa,1.62
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Hammersmith and Fulham,E09000013,Total,182493,737,Africa,Other Central and Western Africa,0.4
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Haringey,E09000014,Total,254926,2697,Africa,Other Central and Western Africa,1.06
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Islington,E09000019,Total,206125,1279,Africa,Other Central and Western Africa,0.62
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Kensington and Chelsea,E09000020,Total,158649,566,Africa,Other Central and Western Africa,0.36
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Lambeth,E09000022,Total,303086,4860,Africa,Other Central and Western Africa,1.6
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Lewisham,E09000023,Total,275885,4361,Africa,Other Central and Western Africa,1.58
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Newham,E09000025,Total,307984,4857,Africa,Other Central and Western Africa,1.58
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Southwark,E09000028,Total,288283,7676,Africa,Other Central and Western Africa,2.66
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Tower Hamlets,E09000030,Total,254096,1023,Africa,Other Central and Western Africa,0.4
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Wandsworth,E09000032,Total,306995,1183,Africa,Other Central and Western Africa,0.39
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Westminster,E09000033,Total,219396,1285,Africa,Other Central and Western Africa,0.59
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Barking and Dagenham,E09000002,Total,185911,2702,Africa,Other Central and Western Africa,1.45
Africa: Central and Western Africa: Other Central and Western Africa,Other Central and Western Africa,2011,Barnet,E09000003,Total,356386,2215,Africa,Other Central and Western Africa,0.62
