date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
2011,East,E12000006,Total,5846965,21313,Africa,South Africa,0.36
2011,London,E12000007,Total,8173941,57765,Africa,South Africa,0.71
2011,South East,E12000008,Total,8634750,50075,Africa,South Africa,0.58
2011,South West,E12000009,Total,5288935,17186,Africa,South Africa,0.32
2011,North East,E12000001,Total,2596886,2266,Africa,Zimbabwe,0.09
2011,North West,E12000002,Total,7052177,8863,Africa,Zimbabwe,0.13
2011,Yorkshire and The Humber,E12000003,Total,5283733,10718,Africa,Zimbabwe,0.2
2011,East Midlands,E12000004,Total,4533222,11711,Africa,Zimbabwe,0.26
2011,West Midlands,E12000005,Total,5601847,12088,Africa,Zimbabwe,0.22
2011,East,E12000006,Total,5846965,16136,Africa,Zimbabwe,0.28
2011,London,E12000007,Total,8173941,21309,Africa,Zimbabwe,0.26
2011,South East,E12000008,Total,8634750,25479,Africa,Zimbabwe,0.3
2011,South West,E12000009,Total,5288935,7472,Africa,Zimbabwe,0.14
2011,North East,E12000001,Total,2596886,1824,Antarctica and Oceania,Australia,0.07
2011,North West,E12000002,Total,7052177,6365,Antarctica and Oceania,Australia,0.09
2011,Yorkshire and The Humber,E12000003,Total,5283733,4680,Antarctica and Oceania,Australia,0.09
2011,East Midlands,E12000004,Total,4533222,4049,Antarctica and Oceania,Australia,0.09
2011,West Midlands,E12000005,Total,5601847,4322,Antarctica and Oceania,Australia,0.08
2011,East,E12000006,Total,5846965,9398,Antarctica and Oceania,Australia,0.16
2011,London,E12000007,Total,8173941,53959,Antarctica and Oceania,Australia,0.66
2011,South East,E12000008,Total,8634750,20242,Antarctica and Oceania,Australia,0.23
2011,South West,E12000009,Total,5288935,8753,Antarctica and Oceania,Australia,0.17
2011,North East,E12000001,Total,2596886,692,Antarctica and Oceania,Other Australasia,0.03
2011,North West,E12000002,Total,7052177,2450,Antarctica and Oceania,Other Australasia,0.03
2011,Yorkshire and The Humber,E12000003,Total,5283733,1931,Antarctica and Oceania,Other Australasia,0.04
2011,East Midlands,E12000004,Total,4533222,1782,Antarctica and Oceania,Other Australasia,0.04
2011,West Midlands,E12000005,Total,5601847,1706,Antarctica and Oceania,Other Australasia,0.03
2011,East,E12000006,Total,5846965,5086,Antarctica and Oceania,Other Australasia,0.09
2011,London,E12000007,Total,8173941,28569,Antarctica and Oceania,Other Australasia,0.35
2011,South East,E12000008,Total,8634750,10601,Antarctica and Oceania,Other Australasia,0.12
2011,South West,E12000009,Total,5288935,4318,Antarctica and Oceania,Other Australasia,0.08
2011,North East,E12000001,Total,2596886,110,Antarctica and Oceania,Other Oceania and Antarctica,0
2011,North West,E12000002,Total,7052177,477,Antarctica and Oceania,Other Oceania and Antarctica,0.01
2011,Yorkshire and The Humber,E12000003,Total,5283733,625,Antarctica and Oceania,Other Oceania and Antarctica,0.01
2011,East Midlands,E12000004,Total,4533222,567,Antarctica and Oceania,Other Oceania and Antarctica,0.01
2011,West Midlands,E12000005,Total,5601847,735,Antarctica and Oceania,Other Oceania and Antarctica,0.01
2011,East,E12000006,Total,5846965,725,Antarctica and Oceania,Other Oceania and Antarctica,0.01
2011,London,E12000007,Total,8173941,2133,Antarctica and Oceania,Other Oceania and Antarctica,0.03
2011,South East,E12000008,Total,8634750,1830,Antarctica and Oceania,Other Oceania and Antarctica,0.02
2011,South West,E12000009,Total,5288935,1271,Antarctica and Oceania,Other Oceania and Antarctica,0.02
2011,North East,E12000001,Total,2596886,1215,Europe,Lithuania,0.05
